timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2023-03-16 04:00:00,24271.90,24470.50,24178.00,24345.00,32712.944,2023-03-16 05:59:59,795692657.37070,305331,15990.477,388965213.13690,0
2023-03-16 06:00:00,24345.10,24694.90,24343.00,24614.50,55297.519,2023-03-16 07:59:59,1356799530.29143,478974,28092.144,689311414.55223,0
2023-03-16 08:00:00,24614.50,24854.00,24370.00,24655.40,74440.663,2023-03-16 09:59:59,1831757848.77881,565602,37580.660,924841111.86561,0
2023-03-16 10:00:00,24655.80,25060.00,24565.90,24821.40,101343.967,2023-03-16 11:59:59,2517872017.68408,768329,52080.234,1294132454.77148,0
2023-03-16 12:00:00,24821.40,24920.00,24516.00,24828.40,102111.241,2023-03-16 13:59:59,2524799771.50193,819616,50618.297,1251644049.89630,0
2023-03-16 14:00:00,24828.40,25030.00,24677.10,24880.60,80683.251,2023-03-16 15:59:59,2004535646.12038,684204,40356.855,1002758715.46238,0
2023-03-16 16:00:00,24880.70,24909.90,24605.00,24673.40,54089.678,2023-03-16 17:59:59,1338657591.82510,496685,25681.951,635724242.34670,0
2023-03-16 18:00:00,24673.30,25167.90,24590.90,24945.90,74541.043,2023-03-16 19:59:59,1855469504.23866,602074,38348.466,954762241.81433,0
2023-03-16 20:00:00,24945.90,25097.80,24602.50,24899.60,59372.717,2023-03-16 21:59:59,1473981365.71192,500092,28944.111,718756282.04850,0
2023-03-16 22:00:00,24899.70,25067.30,24821.80,24990.40,32300.754,2023-03-16 23:59:59,805751459.43510,308672,16668.338,415873303.43870,0
2023-03-17 00:00:00,24990.50,25739.80,24875.30,25654.40,101288.690,2023-03-17 01:59:59,2563066320.22133,700362,55881.206,1414395789.90233,0
2023-03-17 02:00:00,25654.50,25896.50,25480.00,25769.90,101669.141,2023-03-17 03:59:59,2613482872.58882,772938,51372.415,1320844855.15476,0
2023-03-17 04:00:00,25769.90,25875.00,25638.80,25754.60,41174.324,2023-03-17 05:59:59,1059522010.31060,378429,20279.555,521923725.78520,0
2023-03-17 06:00:00,25754.60,26200.00,25743.00,26046.90,117984.061,2023-03-17 07:59:59,3066612821.59458,904699,62038.923,1612585740.23000,0
2023-03-17 08:00:00,26046.90,26365.50,25912.50,26231.30,81202.833,2023-03-17 09:59:59,2119774631.86654,651277,43516.235,1136307073.72134,0
2023-03-17 10:00:00,26231.30,26980.00,26221.50,26914.10,195334.416,2023-03-17 11:59:59,5198755382.50437,1490318,104333.472,2777364738.47447,0
2023-03-17 12:00:00,26914.10,26930.00,26355.00,26453.20,133154.658,2023-03-17 13:59:59,3541180880.24010,1052039,64657.471,1719777118.10380,0
2023-03-17 14:00:00,26453.20,26622.50,26120.00,26412.60,131588.103,2023-03-17 15:59:59,3469122336.47972,1013782,64171.557,1692168990.06150,0
2023-03-17 16:00:00,26412.70,26666.60,26350.20,26481.90,76144.410,2023-03-17 17:59:59,2017032522.61747,608141,39159.954,1037481775.17497,0
2023-03-17 18:00:00,26482.00,26850.00,26250.00,26830.00,90387.536,2023-03-17 19:59:59,2405862444.35922,669561,45874.572,1221462531.30452,0
2023-03-17 20:00:00,26830.00,27240.00,26571.20,27089.40,97794.030,2023-03-17 21:59:59,2630628106.74187,701994,53799.527,1447939689.76277,0
2023-03-17 22:00:00,27089.50,27763.40,26962.50,27384.00,173436.862,2023-03-17 23:59:59,4758489958.12646,1248701,87657.579,2405285938.89174,0
2023-03-18 00:00:00,27383.90,27726.40,27050.00,27321.80,97012.437,2023-03-18 01:59:59,2657078567.18975,784199,48593.464,1331302949.19594,0
2023-03-18 02:00:00,27321.80,27475.00,27150.00,27293.30,48596.117,2023-03-18 03:59:59,1327069120.92045,447203,22688.414,619714014.93500,0
2023-03-18 04:00:00,27293.40,27600.00,27205.00,27565.70,35040.556,2023-03-18 05:59:59,960467422.43514,383182,18572.057,509179825.63994,0
2023-03-18 06:00:00,27565.70,27596.20,27258.00,27351.90,32307.865,2023-03-18 07:59:59,886693365.43656,350925,14627.639,401521457.70030,0
2023-03-18 08:00:00,27351.90,27436.00,27050.00,27390.80,56225.222,2023-03-18 09:59:59,1531720779.89884,533807,28437.114,774833046.76416,0
2023-03-18 10:00:00,27390.80,27500.00,27305.00,27440.00,31658.005,2023-03-18 11:59:59,867599364.11790,342329,15377.368,421494602.36460,0
2023-03-18 12:00:00,27439.90,27658.40,27270.00,27404.50,59263.736,2023-03-18 13:59:59,1627047579.12884,552086,29870.368,820276979.18468,0
2023-03-18 14:00:00,27404.50,27615.00,27037.00,27218.90,87825.670,2023-03-18 15:59:59,2400289486.53662,713445,42093.750,1150705090.62778,0
2023-03-18 16:00:00,27218.90,27490.00,26555.50,27305.90,165350.170,2023-03-18 17:59:59,4483414717.96215,1145325,80135.030,2173638069.93508,0
2023-03-18 18:00:00,27305.80,27431.60,27223.40,27322.90,31201.972,2023-03-18 19:59:59,852383925.10376,345951,14939.008,408181721.18536,0
2023-03-18 20:00:00,27322.80,27453.30,27132.50,27188.30,26148.324,2023-03-18 21:59:59,713942791.71731,287601,13130.462,358603601.55573,0
2023-03-18 22:00:00,27188.30,27235.60,26790.00,26907.00,69602.242,2023-03-18 23:59:59,1876784332.25942,567465,33657.824,907577035.71260,0
2023-03-19 00:00:00,26907.00,27189.00,26901.60,27100.10,36051.791,2023-03-19 01:59:59,975256384.77238,371275,18135.552,490628183.29198,0
2023-03-19 02:00:00,27100.10,27269.10,27048.00,27194.70,18660.678,2023-03-19 03:59:59,506235806.50100,232044,9708.438,263424140.82010,0
2023-03-19 04:00:00,27194.80,27282.70,27027.00,27050.00,22488.734,2023-03-19 05:59:59,610582258.40750,255316,10473.448,284406467.27100,0
2023-03-19 06:00:00,27050.00,27075.90,26815.90,26963.40,39731.044,2023-03-19 07:59:59,1070720273.11650,386765,19340.771,521256165.87310,0
2023-03-19 08:00:00,26963.40,27087.00,26868.70,27039.90,33933.661,2023-03-19 09:59:59,915950212.49370,329610,17577.661,474498758.25920,0
2023-03-19 10:00:00,27039.90,27192.00,26920.10,27152.20,35596.736,2023-03-19 11:59:59,963252935.99438,341057,18175.443,491947300.42168,0
2023-03-19 12:00:00,27152.20,27386.90,27090.00,27166.90,62384.769,2023-03-19 13:59:59,1697870921.71844,513135,30626.944,833690536.30126,0
2023-03-19 14:00:00,27166.80,27799.90,27166.80,27534.30,102563.364,2023-03-19 15:59:59,2817229936.55194,750265,54970.001,1510197079.54326,0
2023-03-19 16:00:00,27533.70,28188.00,27456.00,27887.10,174072.846,2023-03-19 17:59:59,4850517000.45596,1238681,90306.708,2517166950.26656,0
2023-03-19 18:00:00,27887.00,28383.60,27820.10,28245.30,87263.019,2023-03-19 19:59:59,2457650024.35137,771880,45539.402,1282792769.81137,0
2023-03-19 20:00:00,28245.40,28397.00,27722.40,27964.90,93526.319,2023-03-19 21:59:59,2621699123.71097,733708,44675.923,1252429268.86912,0
2023-03-19 22:00:00,27965.00,28290.60,27866.80,27955.70,53094.117,2023-03-19 23:59:59,1490174797.92245,497269,26394.572,740890013.95709,0
2023-03-20 00:00:00,27955.80,28048.00,27539.00,27667.40,65958.098,2023-03-20 01:59:59,1834040788.30022,560663,31538.358,877402296.42162,0
2023-03-20 02:00:00,27667.40,27734.30,27120.60,27264.30,88737.514,2023-03-20 03:59:59,2428919186.67222,691207,42042.281,1150743442.75890,0
